,actors,movies
452,amitabh bachchan,Armaan
453,anil kapoor,Armaan
454,preity zinta,Armaan
455,gracy singh,Armaan
456,lucky ali,Sur: The Melody of Life
457,simone singh,Sur: The Melody of Life
458,achint kaur,Sur: The Melody of Life
459,ehsan khan,Sur: The Melody of Life
460,madhavan,Dil Vil Pyar Vyar
461,jimmy shergill,Dil Vil Pyar Vyar
462,sanjay suri,Dil Vil Pyar Vyar
463,namrata shirodkar,Dil Vil Pyar Vyar
464,aftab shivdasani,Pyaasa
465,anang desai,Pyaasa
466,dinesh hingoo,Pyaasa
467,smita jaykar,Pyaasa
468,amitabh bachchan,Baghban
469,hema malini,Baghban
470,aman verma,Baghban
471,samir soni,Baghban
472,sanjay dutt,Hathyar: Face to Face with Reality
473,shilpa shetty,Hathyar: Face to Face with Reality
474,sharad s. kapoor,Hathyar: Face to Face with Reality
475,shakti kapoor,Hathyar: Face to Face with Reality
476,vijayendra ghatge,Jeena Sirf Merre Liye
477,kareena kapoor,Jeena Sirf Merre Liye
478,tusshar kapoor,Jeena Sirf Merre Liye
479,kader khan,Jeena Sirf Merre Liye
480,ajay devgn,Deewangee
481,akshaye khanna,Deewangee
482,urmila matondkar,Deewangee
483,farida jalal,Deewangee
484,sunil shetty,Ek Hindustani
485,raveena tandon,Ek Hindustani
486,mohan joshi,Ek Hindustani
487,mohnish bahl,Ek Hindustani
488,rakhee gulzar,Talaash: The Hunt Begins...
489,akshay kumar,Talaash: The Hunt Begins...
490,kareena kapoor,Talaash: The Hunt Begins...
491,pooja batra,Talaash: The Hunt Begins...
492,prashant chianani,Yeh Kya Ho Raha Hai?
493,aamir ali malik,Yeh Kya Ho Raha Hai?
494,vaibhav jhalani,Yeh Kya Ho Raha Hai?
495,yash pandit,Yeh Kya Ho Raha Hai?
496,sanjay dutt,Annarth
497,sunil shetty,Annarth
498,ashutosh rana,Annarth
499,preeti jhangiani,Annarth
500,sunil shetty,Ek Se Badhkar Ek
501,raveena tandon,Ek Se Badhkar Ek
502,shekhar suman,Ek Se Badhkar Ek
503,isha koppikar,Ek Se Badhkar Ek
504,govinda,Waah! Tera Kya Kehna
505,raveena tandon,Waah! Tera Kya Kehna
506,preeti jhangiani,Waah! Tera Kya Kehna
507,shakti kapoor,Waah! Tera Kya Kehna
508,sunny deol,Jaal: The Trap
509,tabu,Jaal: The Trap
510,reema sen,Jaal: The Trap
511,anupam kher,Jaal: The Trap
512,gurdas mann,Zindagi Khoobsoorat Hai
513,tabu,Zindagi Khoobsoorat Hai
514,ashish vidyarthi,Zindagi Khoobsoorat Hai
515,rajit kapoor,Zindagi Khoobsoorat Hai
516,ajay devgn,Bhoot
517,urmila matondkar,Bhoot
518,nana patekar,Bhoot
519,rekha,Bhoot
520,sunil shetty,Maseeha
521,namrata shirodkar,Maseeha
522,inder kumar,Maseeha
523,manek bedi,Maseeha
524,anil kapoor,Rishtey
525,karisma kapoor,Rishtey
526,shilpa shetty,Rishtey
527,kaivalya chheda,Rishtey
528,raveena tandon,Satta
529,atul kulkarni,Satta
530,shri vallabh vyas,Satta
531,govind namdeo,Satta
532,sunny deol,Karz: The Burden of Truth
533,sunil shetty,Karz: The Burden of Truth
534,shilpa shetty,Karz: The Burden of Truth
535,ashutosh rana,Karz: The Burden of Truth
536,zayed khan,Chura Liyaa Hai Tumne
537,esha deol,Chura Liyaa Hai Tumne
538,gulshan grover,Chura Liyaa Hai Tumne
539,rakhi sawant,Chura Liyaa Hai Tumne
540,ashutosh rana,Danger
541,tara deshpande,Danger
542,jas arora,Danger
543,shishir sharma,Danger
544,dev anand,Love at Times Square
545,heenee kaushik,Love at Times Square
546,shoib khan,Love at Times Square
547,chaitanya chaudhary,Love at Times Square
548,aamir khan,The Rising: Ballad of Mangal Pandey
549,rani mukerji,The Rising: Ballad of Mangal Pandey
550,toby stephens,The Rising: Ballad of Mangal Pandey
551,coral beed,The Rising: Ballad of Mangal Pandey
552,akshay kumar,Andaaz
553,lara dutta,Andaaz
